Date,Company,Stock_Price,Revenue_Millions,Net_Income_Millions,Market_Cap_Billions,EPS
2022-01-01,TechCorp,145.20,1200.50,170.25,72.60,2.30
2022-01-01,HealthInc,80.10,850.75,110.50,40.05,1.70
2022-01-01,RetailCo,42.50,1950.25,85.30,21.25,1.10
2022-01-01,FinServ,110.75,1000.40,140.20,55.38,2.00
2022-01-01,EnergyCo,65.30,700.60,90.15,32.65,1.50
2022-02-01,TechCorp,147.80,1225.75,175.10,73.90,2.35
2022-02-01,HealthInc,81.50,860.20,112.75,40.75,1.72
2022-02-01,RetailCo,43.10,1980.50,87.40,21.55,1.12
2022-02-01,FinServ,112.20,1015.30,142.50,56.10,2.05
2022-02-01,EnergyCo,66.10,710.25,92.30,33.05,1.52
2022-03-01,TechCorp,146.50,1210.25,172.60,73.25,2.32
2022-03-01,HealthInc,80.90,855.10,111.20,40.45,1.71
2022-03-01,RetailCo,42.80,1965.75,86.20,21.40,1.11
2022-03-01,FinServ,111.50,1005.75,141.10,55.75,2.02
2022-03-01,EnergyCo,65.80,705.50,91.10,32.90,1.51
2022-04-01,TechCorp,149.20,1235.50,178.30,74.60,2.38
2022-04-01,HealthInc,82.30,865.25,113.90,41.15,1.74
2022-04-01,RetailCo,43.50,1995.25,88.50,21.75,1.13
2022-04-01,FinServ,113.10,1020.40,143.80,56.55,2.07
2022-04-01,EnergyCo,66.50,715.75,93.25,33.25,1.53
2022-05-01,TechCorp,151.10,1250.75,180.50,75.55,2.40
2022-05-01,HealthInc,83.20,870.50,115.10,41.60,1.76
2022-05-01,RetailCo,44.00,2005.60,89.70,22.00,1.14
2022-05-01,FinServ,114.25,1025.80,145.00,57.13,2.09
2022-05-01,EnergyCo,67.00,720.90,94.50,33.50,1.55
2022-06-01,TechCorp,153.40,1275.25,183.75,76.70,2.43
2022-06-01,HealthInc,84.10,875.75,116.50,42.05,1.78
2022-06-01,RetailCo,44.50,2015.25,90.90,22.25,1.15
2022-06-01,FinServ,115.50,1030.25,146.30,57.75,2.11
2022-06-01,EnergyCo,67.75,72517.50,95.80,33.88,1.57
2022-07-01,TechCorp,150.90,1260.50,181.20,75.45,2.41
2022-07-01,HealthInc,83.50,872.10,115.80,41.75,1.77
2022-07-01,RetailCo,44.20,2000.75,89.50,22.10,1.14
2022-07-01,FinServ,114.80,1027.60,145.50,57.40,2.10
2022-07-01,EnergyCo,67.20,718.25,94.10,33.60,1.56
2022-08-01,TechCorp,155.60,1285.75,185.30,77.80,2.45
2022-08-01,HealthInc,84.90,880.50,117.25,42.45,1.79
2022-08-01,RetailCo,44.70,2025.50,91.20,22.35,1.16
2022-08-01,FinServ,116.10,1035.75,147.10,58.05,2.12
2022-08-01,EnergyCo,68.10,725.50,95.40,33.90,1.58
2022-09-01,TechCorp,157.20,1300.25,187.50,78.60,2.47
2022-09-01,HealthInc,85.50,885.10,118.50,42.75,1.80
2022-09-01,RetailCo,45.00,2035.75,92.40,22.50,1.17
2022-09-01,FinServ,116.90,1040.25,148.30,58.45,2.13
2022-09-01,EnergyCo,68.50,730.75,96.60,34.25,1.59
2022-10-01,TechCorp,154.80,1290.50,185.10,77.40,2.46
2022-10-01,HealthInc,85.10,882.75,117.90,42.55,1.79
2022-10-01,RetailCo,44.80,2020.25,91.80,22.40,1.16
2022-10-01,FinServ,116.50,1037.50,147.90,58.25,2.12
2022-10-01,EnergyCo,68.20,728.10,96.20,34.10,1.58
2022-11-01,TechCorp,159.30,1315.75,189.25,79.65,2.49
2022-11-01,HealthInc,86.20,890.50,119.50,43.10,1.81
2022-11-01,RetailCo,45.30,2045.50,93.10,22.65,1.18
2022-11-01,FinServ,117.50,1045.25,149.50,58.75,2.14
2022-11-01,EnergyCo,68.90,735.25,97.50,34.45,1.60
2022-12-01,TechCorp,161.50,1330.25,191.75,80.75,2.51
2022-12-01,HealthInc,86.90,895.75,120.75,43.45,1.82
2022-12-01,RetailCo,45.60,2055.75,94.30,22.80,1.19
2022-12-01,FinServ,118.20,1050.50,150.75,59.10,2.15
2022-12-01,EnergyCo,69.30,740.50,98.70,34.65,1.61
2023-01-01,TechCorp,163.20,1345.50,193.50,81.60,2.53
2023-01-01,HealthInc,87.50,900.25,121.90,43.75,1.83
2023-01-01,RetailCo,45.90,2065.25,95.50,22.95,1.20
2023-01-01,FinServ,118.90,1055.75,151.90,59.45,2.16
2023-01-01,EnergyCo,69.70,745.75,99.90,34.85,1.62
2023-02-01,TechCorp,165.10,1360.75,195.75,82.55,2.55
2023-02-01,HealthInc,88.10,905.50,123.10,44.05,1.84
2023-02-01,RetailCo,46.20,2075.50,96.70,23.10,1.21
2023-02-01,FinServ,119.60,1060.25,153.10,59.80,2.17
2023-02-01,EnergyCo,70.10,750.25,101.10,35.05,1.63
2023-03-01,TechCorp,162.80,1350.25,193.20,81.40,2.52
2023-03-01,HealthInc,87.80,902.75,122.50,43.90,1.83
2023-03-01,RetailCo,46.00,2060.75,95.90,23.00,1.20
2023-03-01,FinServ,119.20,1057.50,152.50,59.60,2.16
2023-03-01,EnergyCo,69.80,747.50,100.50,34.90,1.62
2023-04-01,TechCorp,167.50,1375.50,197.50,83.75,2.57
2023-04-01,HealthInc,88.90,910.25,124.25,44.45,1.85
2023-04-01,RetailCo,46.50,2085.25,97.10,23.25,1.22
2023-04-01,FinServ,120.10,1065.75,154.25,60.05,2.18
2023-04-01,EnergyCo,70.50,755.75,102.25,35.25,1.64
2023-05-01,TechCorp,169.20,1390.75,199.75,84.60,2.59
2023-05-01,HealthInc,89.50,915.50,125.50,44.75,1.86
2023-05-01,RetailCo,46.80,2095.50,98.30,23.40,1.23
2023-05-01,FinServ,120.80,1070.25,155.50,60.40,2.19
2023-05-01,EnergyCo,70.90,760.25,103.50,35.45,1.65
2023-06-01,TechCorp,171.10,1405.25,201.50,85.55,2.61
2023-06-01,HealthInc,90.10,920.75,126.75,45.05,1.87
2023-06-01,RetailCo,47.10,2105.75,99.50,23.55,1.24
2023-06-01,FinServ,121.50,1075.50,156.75,60.75,2.20
2023-06-01,EnergyCo,71.30,765.50,104.75,35.65,1.66
2023-07-01,TechCorp,168.80,1395.50,199.20,84.40,2.58
2023-07-01,HealthInc,89.80,918.25,126.10,44.90,1.86
2023-07-01,RetailCo,46.90,2090.25,98.70,23.45,1.23
2023-07-01,FinServ,121.10,1072.75,156.10,60.55,2.19
2023-07-01,EnergyCo,71.00,762.75,104.10,35.50,1.65
2023-08-01,TechCorp,173.50,1410.75,203.50,86.75,2.63
2023-08-01,HealthInc,90.90,925.50,127.75,45.45,1.88
2023-08-01,RetailCo,47.40,2115.50,100.10,23.70,1.25
2023-08-01,FinServ,122.10,1080.25,157.75,61.05,2.21
2023-08-01,EnergyCo,71.70,770.25,105.75,35.85,1.67
2023-09-01,TechCorp,175.20,1425.25,205.75,87.60,2.65
2023-09-01,HealthInc,91.50,930.75,129.00,45.75,1.89
2023-09-01,RetailCo,47.70,2125.75,101.30,23.85,1.26
2023-09-01,FinServ,122.80,1085.50,159.00,61.40,2.22
2023-09-01,EnergyCo,72.10,775.50,107.00,36.05,1.68
2023-10-01,TechCorp,172.80,1415.50,203.20,86.40,2.62
2023-10-01,HealthInc,91.10,928.25,128.50,45.55,1.88
2023-10-01,RetailCo,47.50,2110.25,100.50,23.75,1.25
2023-10-01,FinServ,122.40,1082.75,158.50,61.20,2.21
2023-10-01,EnergyCo,71.80,772.75,106.50,35.90,1.67
2023-11-01,TechCorp,177.50,1430.75,207.50,88.75,2.67
2023-11-01,HealthInc,92.20,935.50,130.25,46.10,1.90
2023-11-01,RetailCo,48.00,2135.50,101.70,24.00,1.27
2023-11-01,FinServ,123.10,1090.25,159.75,61.55,2.23
2023-11-01,EnergyCo,72.50,780.25,107.75,36.25,1.69
2023-12-01,TechCorp,179.20,1445.25,209.75,89.60,2.69
2023-12-01,HealthInc,92.80,940.75,131.50,46.40,1.91
2023-12-01,RetailCo,48.30,2145.75,102.90,24.15,1.28
2023-12-01,FinServ,123.80,1095.50,161.00,61.90,2.24
2023-12-01,EnergyCo,72.90,785.50,109.00,36.45,1.70
2024-01-01,TechCorp,181.10,1460.75,211.50,90.55,2.71
2024-01-01,HealthInc,93.40,945.25,132.75,46.70,1.92
2024-01-01,RetailCo,48.60,2155.75,104.10,24.30,1.29
2024-01-01,FinServ,124.50,1100.75,162.25,62.25,2.25
2024-01-01,EnergyCo,73.30,790.75,110.25,36.65,1.71
2024-02-01,TechCorp,182.80,1475.25,213.75,91.40,2.73
2024-02-01,HealthInc,94.00,950.50,134.00,47.00,1.93
2024-02-01,RetailCo,48.90,2165.75,105.30,24.45,1.30
2024-02-01,FinServ,125.20,1105.25,163.50,62.60,2.26
2024-02-01,EnergyCo,73.70,795.25,111.50,36.85,1.72
2024-03-01,TechCorp,180.50,1465.50,211.20,90.25,2.70
2024-03-01,HealthInc,93.70,947.75,133.50,46.85,1.92
2024-03-01,RetailCo,48.70,2150.25,104.50,24.35,1.29
2024-03-01,FinServ,124.80,1102.50,162.75,62.40,2.25
2024-03-01,EnergyCo,73.40,792.50,110.75,36.70,1.71
2024-04-01,TechCorp,185.20,1480.75,215.50,92.60,2.75
2024-04-01,HealthInc,94.80,955.25,135.25,47.40,1.94
2024-04-01,RetailCo,49.20,2175.50,106.10,24.60,1.31
2024-04-01,FinServ,125.80,1110.25,164.25,62.90,2.27
2024-04-01,EnergyCo,74.10,800.25,112.25,37.05,1.73
2024-05-01,TechCorp,187.10,1495.25,217.75,93.55,2.77
2024-05-01,HealthInc,95.40,960.50,136.50,47.70,1.95
2024-05-01,RetailCo,49.50,2185.75,107.30,24.75,1.32
2024-05-01,FinServ,126.50,1115.50,165.50,63.25,2.28
2024-05-01,EnergyCo,74.50,805.50,113.50,37.25,1.74
2024-06-01,TechCorp,188.80,1510.75,220.00,94.40,2.79
2024-06-01,HealthInc,96.00,965.75,137.75,48.00,1.96
2024-06-01,RetailCo,49.80,2195.75,108.50,24.90,1.33
2024-06-01,FinServ,127.20,1120.75,166.75,63.60,2.29
2024-06-01,EnergyCo,74.90,810.75,114.75,37.45,1.75
2024-07-01,TechCorp,186.50,1500.25,217.50,93.25,2.76
2024-07-01,HealthInc,95.70,963.25,137.25,47.85,1.95
2024-07-01,RetailCo,49.60,2180.25,107.70,24.80,1.32
2024-07-01,FinServ,126.80,1117.50,166.25,63.40,2.28
2024-07-01,EnergyCo,74.60,807.50,114.25,37.30,1.74
2024-08-01,TechCorp,191.20,1515.75,221.75,95.60,2.81
2024-08-01,HealthInc,96.80,970.25,138.75,48.40,1.97
2024-08-01,RetailCo,50.10,2205.50,109.10,25.05,1.34
2024-08-01,FinServ,127.80,1125.25,167.75,63.90,2.30
2024-08-01,EnergyCo,75.30,815.25,115.75,37.65,1.76
2024-09-01,TechCorp,192.90,1530.25,224.00,96.45,2.83
2024-09-01,HealthInc,97.40,975.50,140.00,48.70,1.98
2024-09-01,RetailCo,50.40,2215.75,110.30,25.20,1.35
2024-09-01,FinServ,128.50,1130.50,169.00,64.25,2.31
2024-09-01,EnergyCo,75.70,820.50,117.00,37.85,1.77
2024-10-01,TechCorp,190.50,1520.75,221.50,95.25,2.80
2024-10-01,HealthInc,97.10,973.25,139.50,48.55,1.97
2024-10-01,RetailCo,50.20,2200.25,109.50,25.10,1.34
2024-10-01,FinServ,128.10,1127.75,168.50,64.05,2.30
2024-10-01,EnergyCo,75.40,817.75,116.50,37.70,1.76
2024-11-01,TechCorp,195.20,1535.25,225.25,97.60,2.85
2024-11-01,HealthInc,98.20,980.50,141.25,49.10,1.99
2024-11-01,RetailCo,50.70,2225.50,110.70,25.35,1.36
2024-11-01,FinServ,129.10,1135.25,170.25,64.55,2.32
2024-11-01,EnergyCo,76.10,825.25,118.25,38.05,1.78
2024-12-01,TechCorp,196.90,1550.75,227.50,98.45,2.87
2024-12-01,HealthInc,98.80,985.75,142.50,49.40,2.00
2024-12-01,RetailCo,51.00,2235.75,111.90,25.50,1.37
2024-12-01,FinServ,129.80,1140.50,171.50,64.90,2.33
2024-12-01,EnergyCo,76.50,830.50,119.50,38.25,1.79
2025-01-01,TechCorp,198.60,1565.25,229.75,99.30,2.89
2025-01-01,HealthInc,99.40,990.25,143.75,49.70,2.01
2025-01-01,RetailCo,51.30,2245.75,113.10,25.65,1.38
2025-01-01,FinServ,130.50,1145.75,172.75,65.25,2.34
2025-01-01,EnergyCo,76.90,835.75,120.75,38.45,1.80
2025-02-01,TechCorp,200.20,1579.75,232.00,100.10,2.91
2025-02-01,HealthInc,100.00,995.50,145.00,50.00,2.02
2025-02-01,RetailCo,51.60,2255.75,114.30,25.80,1.39
2025-02-01,FinServ,131.20,1150.25,174.00,65.60,2.35
2025-02-01,EnergyCo,77.30,840.25,122.00,38.65,1.81
2025-03-01,TechCorp,197.80,1570.25,229.50,99.00,2.88
2025-03-01,HealthInc,99.70,992.75,144.50,49.85,2.01
2025-03-01,RetailCo,51.40,2240.25,113.50,25.70,1.38
2025-03-01,FinServ,130.80,1147.50,173.50,65.40,2.34
2025-03-01,EnergyCo,77.00,837.50,121.50,38.50,1.80
2025-04-01,TechCorp,202.50,1585.25,234.25,101.25,2.93
2025-04-01,HealthInc,100.80,1000.25,146.25,50.40,2.03
2025-04-01,RetailCo,51.90,2265.50,115.10,25.95,1.40
2025-04-01,FinServ,131.80,1155.25,175.25,65.90,2.36
2025-04-01,EnergyCo,77.70,845.25,123.25,38.85,1.82